review,rating,date,bank,source,sentiment_score,sentiment_label,keywords,themes
Ali urgesa11,3,2025-10-09,CBE,Google Play,0.0,neutral,"['ali', 'urgesa11']",['Other']
it's good,5,2025-10-09,CBE,Google Play,0.4404,positive,['good'],['Other']
Good apps,5,2025-10-09,CBE,Google Play,0.4404,positive,"['good', 'app']",['User Interface & Experience']
good,5,2025-10-09,CBE,Google Play,0.4404,positive,['good'],['Other']
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,Google Play,0.0,neutral,['password'],['Account Access Issues']
good,5,2025-10-09,CBE,Google Play,0.4404,positive,['good'],['Other']
best app i ever seen,5,2025-10-09,CBE,Google Play,0.6369,positive,"['good', 'app']",['User Interface & Experience']
it's game changing in financial system,4,2025-10-09,CBE,Google Play,0.0,neutral,"['game', 'financial', 'system']",['Other']
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,CBE,Google Play,0.0,neutral,"['zmkt', '208r']",['Other']
will good updating,5,2025-10-09,CBE,Google Play,0.4404,positive,['good'],['Other']
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,Google Play,-0.2411,negative,"['service', 'charge', 'vat', 'fee', 'fair']",['Customer Support']
why removing screenshot feature why?,2,2025-10-08,CBE,Google Play,0.0,neutral,"['screenshot', 'feature']",['Features']
very good application! thank you all who participate!,5,2025-10-08,CBE,Google Play,0.7608,positive,"['good', 'application']",['Other']
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,Google Play,0.908,positive,"['application', 'bank', 'commercial', 'ethiopia', 'happy', 'able', 'great', 'job', 'pleasant', 'job']",['Other']
user compatible app!,5,2025-10-08,CBE,Google Play,0.0,neutral,"['user', 'compatible', 'app']",['User Interface & Experience']
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,Google Play,0.8891,positive,"['app', 'android', 'phone']",['User Interface & Experience']
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,CBE,Google Play,0.8689,positive,"['amazing', 'app', 'life', 'thank', 'cbe', 'proud']",['User Interface & Experience']
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,CBE,Google Play,0.4926,positive,"['commercial', 'bank', 'ethiopia', 'good']",['Other']
Asledin Ibsa,5,2025-10-06,CBE,Google Play,0.0,neutral,"['asledin', 'ibsa']",['Other']
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,Google Play,-0.4767,negative,"['terrible', 'history', 'transaction', 'disorganised', 'way']",['Transaction Performance']
my bank,5,2025-10-05,CBE,Google Play,0.0,neutral,['bank'],['Other']
Data,5,2025-10-04,CBE,Google Play,0.0,neutral,['datum'],['Other']
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,CBE,Google Play,-0.5948,negative,"['problem', 'app', 'problem', 'day', 'pin', 'pin', 'digit', 'pin', 'problem', 'app']",['User Interface & Experience']
excellent app with lots of features,5,2025-10-04,CBE,Google Play,0.5719,positive,"['excellent', 'app', 'lot', 'feature']","['User Interface & Experience', 'Features']"
very good 👍 mobile banking,5,2025-10-04,CBE,Google Play,0.4927,positive,"['good', 'mobile', 'banking']",['Other']
so special,5,2025-10-04,CBE,Google Play,0.4576,positive,['special'],['Other']
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,CBE,Google Play,0.0,neutral,"['wiiy', 'ewdihiliw', 'esimirt', 'niho', 'metgeyot']",['Other']
woow cbe,5,2025-10-03,CBE,Google Play,0.0,neutral,"['woow', 'cbe']",['Other']
cbe the best bank app,4,2025-10-03,CBE,Google Play,0.6369,positive,"['cbe', 'good', 'bank', 'app']",['User Interface & Experience']
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,CBE,Google Play,0.6369,positive,"['app', 'cbe', 'bank', 'simple', 'smart']",['User Interface & Experience']
Rijalufaris,5,2025-10-02,CBE,Google Play,0.0,neutral,['rijalufaris'],['Other']
its Best app But i hate the Repeatedly update request,5,2025-10-02,CBE,Google Play,-0.5346,negative,"['good', 'app', 'update', 'request']","['User Interface & Experience', 'Features']"
good app,5,2025-10-02,CBE,Google Play,0.4404,positive,"['good', 'app']",['User Interface & Experience']
imoo,3,2025-10-02,CBE,Google Play,0.0,neutral,[],['Other']
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,CBE,Google Play,0.25,positive,"['good', 'robber', 'vat', 'taxservice', 'chargeunbelievable', 'charge', 'bank', 'monthly', 'chargeetc', 'international', 'bank', 'bank']",['Other']
screen shoot always not allowed why?,5,2025-10-02,CBE,Google Play,-0.34,negative,"['screen', 'shoot']",['Other']
enkorabetalen,5,2025-10-01,CBE,Google Play,0.0,neutral,['enkorabetalen'],['Other']
good,5,2025-10-01,CBE,Google Play,0.4404,positive,['good'],['Other']
